Dep_hour,Total_Flights,Avg_Delay,Delay_Rate
1,18,57.22222222222222,55.56
5,185,46.1945945945946,63.24
6,2406,40.751870324189525,56.48
7,3004,36.19074567243675,58.22
8,4086,37.767254038179146,58.1
9,4667,37.287979430040714,58.9
10,5465,36.935773101555355,57.93
11,6093,41.02970622025275,61.18
12,5504,44.716206395348834,62.01
13,7088,43.628527088036115,62.33
14,6432,45.6015236318408,65.36
15,6342,42.71065909807632,63.18
16,7796,47.0758081067214,67.44
17,7532,46.73566117896973,66.54
18,7083,46.503882535648735,67.88
19,7053,45.34311640436694,67.52
20,5100,45.40725490196078,68.67
21,3704,42.664416846652266,67.55
22,1233,35.368207623682075,57.1
23,460,29.208695652173912,51.52
