Origin,Dest,Route,Total_Flights,Avg_Delay,Avg_Distance
BZN,ORD,BZNto(->)ORD,17,141.58823529411765,1186.0
PMD,SFO,PMDto(->)SFO,18,129.72222222222223,316.0
MBS,ORD,MBSto(->)ORD,30,127.0,222.0
MEM,ORD,MEMto(->)ORD,46,125.93478260869566,491.0
ROA,ORD,ROAto(->)ORD,17,120.70588235294117,531.0
SGF,ORD,SGFto(->)ORD,47,120.46808510638297,438.0
CEC,SFO,CECto(->)SFO,30,120.33333333333333,304.0
BHM,ORD,BHMto(->)ORD,44,119.86363636363636,584.0
SPI,IAD,SPIto(->)IAD,19,117.89473684210526,657.0
OKC,ORD,OKCto(->)ORD,13,117.46153846153847,693.0
PIA,ORD,PIAto(->)ORD,46,116.19565217391305,130.0
LNK,ORD,LNKto(->)ORD,30,115.8,466.0
MSN,ORD,MSNto(->)ORD,61,115.40983606557377,109.0
MFR,SFO,MFRto(->)SFO,77,115.37662337662337,329.0
SBA,SFO,SBAto(->)SFO,116,113.81896551724138,262.0
LAN,ORD,LANto(->)ORD,50,112.88,179.0
BOI,ORD,BOIto(->)ORD,24,112.29166666666667,1437.0
IND,ORD,INDto(->)ORD,46,112.1086956521739,177.0
TUL,ORD,TULto(->)ORD,14,111.85714285714286,585.0
FSD,ORD,FSDto(->)ORD,49,111.0204081632653,462.0
AUS,ORD,AUSto(->)ORD,18,110.61111111111111,978.0
XNA,ORD,XNAto(->)ORD,29,110.13793103448276,522.0
HDN,ORD,HDNto(->)ORD,15,109.86666666666666,1009.0
RDM,SFO,RDMto(->)SFO,48,108.16666666666667,462.0
FWA,ORD,FWAto(->)ORD,43,107.97674418604652,157.0
LEX,ORD,LEXto(->)ORD,36,107.91666666666667,323.0
SBP,SFO,SBPto(->)SFO,53,107.79245283018868,191.0
IAD,AUS,IADto(->)AUS,14,107.78571428571429,1297.0
CAK,ORD,CAKto(->)ORD,28,105.32142857142857,344.0
FAR,ORD,FARto(->)ORD,48,105.10416666666667,557.0
MKE,ORD,MKEto(->)ORD,40,105.075,67.0
LAX,OGG,LAXto(->)OGG,16,104.5,2486.0
ACV,SFO,ACVto(->)SFO,99,104.22222222222223,250.0
GRB,ORD,GRBto(->)ORD,51,104.09803921568627,174.0
MDT,ORD,MDTto(->)ORD,32,104.0625,594.0
RDD,SFO,RDDto(->)SFO,53,103.16981132075472,199.0
HPN,ORD,HPNto(->)ORD,28,101.92857142857143,738.0
SFO,CEC,SFOto(->)CEC,30,101.83333333333333,304.0
CIC,SFO,CICto(->)SFO,46,101.28260869565217,153.0
ONT,SFO,ONTto(->)SFO,68,101.25,363.0
GSP,ORD,GSPto(->)ORD,44,100.31818181818181,577.0
BFL,SFO,BFLto(->)SFO,38,99.84210526315789,238.0
EUG,SFO,EUGto(->)SFO,99,99.0909090909091,451.0
ORD,CAE,ORDto(->)CAE,67,97.98507462686567,666.0
CEC,ACV,CECto(->)ACV,17,97.70588235294117,56.0
BOI,SFO,BOIto(->)SFO,87,97.59770114942529,522.0
PHL,IAD,PHLto(->)IAD,27,97.18518518518519,134.0
SDF,ORD,SDFto(->)ORD,64,96.859375,286.0
VPS,IAH,VPSto(->)IAH,11,96.63636363636364,510.0
OMA,CVG,OMAto(->)CVG,10,96.5,614.0
GSO,ORD,GSOto(->)ORD,33,96.18181818181819,590.0
BUF,ORD,BUFto(->)ORD,64,96.171875,473.0
IAH,SFO,IAHto(->)SFO,14,96.07142857142857,1635.0
PSP,SFO,PSPto(->)SFO,22,95.72727272727273,421.0
AVP,ORD,AVPto(->)ORD,18,95.61111111111111,631.0
GRR,ORD,GRRto(->)ORD,45,95.35555555555555,137.0
SAV,ORD,SAVto(->)ORD,37,95.10810810810811,773.0
SLC,SFO,SLCto(->)SFO,151,93.87417218543047,599.0
FAT,SFO,FATto(->)SFO,92,93.25,158.0
TVC,ORD,TVCto(->)ORD,45,93.04444444444445,224.0
HRL,IAH,HRLto(->)IAH,16,92.75,295.0
ASE,ORD,ASEto(->)ORD,60,92.45,1013.0
SAT,ORD,SATto(->)ORD,42,91.33333333333333,1041.0
IAD,PHL,IADto(->)PHL,33,91.12121212121212,134.0
ORD,SPI,ORDto(->)SPI,53,91.11320754716981,174.0
SFO,CIC,SFOto(->)CIC,45,91.11111111111111,153.0
ORF,ORD,ORFto(->)ORD,31,91.0,717.0
SPI,ORD,SPIto(->)ORD,45,90.73333333333333,174.0
BMI,ORD,BMIto(->)ORD,42,90.35714285714286,116.0
MLI,ORD,MLIto(->)ORD,39,90.25641025641026,139.0
RDU,ORD,RDUto(->)ORD,36,89.61111111111111,647.0
IAD,MCI,IADto(->)MCI,25,89.56,926.0
CRW,ORD,CRWto(->)ORD,12,89.25,416.0
SBN,ORD,SBNto(->)ORD,65,89.15384615384616,84.0
IAD,BHM,IADto(->)BHM,17,89.0,638.0
PVD,IAD,PVDto(->)IAD,10,89.0,372.0
FLG,PHX,FLGto(->)PHX,16,88.5625,119.0
ORD,PIA,ORDto(->)PIA,45,88.53333333333333,130.0
BTV,EWR,BTVto(->)EWR,38,88.5,266.0
BNA,ORD,BNAto(->)ORD,31,88.12903225806451,409.0
BUR,SFO,BURto(->)SFO,92,88.07608695652173,326.0
RNO,SFO,RNOto(->)SFO,95,87.42105263157895,192.0
CWA,ORD,CWAto(->)ORD,35,87.4,213.0
PVD,ORD,PVDto(->)ORD,16,87.0625,849.0
OGG,SFO,OGGto(->)SFO,21,86.85714285714286,2338.0
ORD,CAK,ORDto(->)CAK,39,86.74358974358974,344.0
MOD,SFO,MODto(->)SFO,48,86.64583333333333,78.0
ABE,ORD,ABEto(->)ORD,37,86.5945945945946,654.0
SFO,COS,SFOto(->)COS,23,86.43478260869566,963.0
IAD,SAT,IADto(->)SAT,11,86.0909090909091,1362.0
SBA,LAX,SBAto(->)LAX,58,86.03448275862068,89.0
SNA,SFO,SNAto(->)SFO,85,86.0,372.0
CHS,ORD,CHSto(->)ORD,43,85.67441860465117,760.0
ORD,GSP,ORDto(->)GSP,39,85.64102564102564,577.0
